Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.33471583537977E-06,0.00662907239788253,1.33004670421342,0,0,0,25.8577669048994,0.267014137924139,-1.36584455424997E-05,4.24690442718128E-07,0.472244407235779,5.34065558451065E-05,0.549554614712028,0,0,0,0,0,0,package://dscr5_6/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://dscr5_6/meshes/base_link.STL,,DSCR5.STEP-1/BODY.STEP-1;DSCR5.STEP-1/HEAD_AXIS1.STEP-1;DSCR5.STEP-1/HEAD_AXIS2.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rlink1,-3.48537472660837E-07,-0.0233818482234878,-0.0427896937411072,0,0,0,4.9503936266377,0.0280328872192691,-1.09421874885135E-08,8.01870940105599E-08,0.0290016533494644,0.00182600668247838,0.0175058159650953,0,0,0,0,0,0,package://dscr5_6/meshes/rlink1.STL,1,1,1,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink1.STL,,DSCR5.STEP-1/ARM_left.STEP-1/link1_accessory.STEP-1;DSCR5.STEP-1/ARM_left.STEP-1/link1.STEP-1,Origin_rjoint1,基准轴0,rjoint1,revolute,-0.384999999999999,0,1.33,3.14159265358979,1.5707963267949,0,base_link,0,0,1,0,0,0,0,,,,,,,,
rlink2,8.53027319225319E-07,0.132185395312596,0.0316164146761528,0,0,0,3.79795466425453,0.0345043951838881,6.83453568770256E-07,-3.61629286229262E-08,0.0138915011944337,0.00967376859925764,0.0312407355826189,0,0,0,0,0,0,package://dscr5_6/meshes/rlink2.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink2.STL,,DSCR5.STEP-1/ARM_left.STEP-1/link2.STEP-1;DSCR5.STEP-1/ARM_left.STEP-1/link2_accessory.STEP-1,Origin_rjoint2,基准轴1,rjoint2,revolute,0,0,0,1.5707963267949,0,3.14159265358979,rlink1,0,0,-1,0,0,0,0,,,,,,,,
rlink3,-8.01697919161626E-07,-0.0193078273568117,-0.0351761512008308,0,0,0,2.90590329386609,0.012506710918385,-3.18829086332697E-08,1.61628680644397E-07,0.0126795925744411,0.000667419670602496,0.00682395851939506,0,0,0,0,0,0,package://dscr5_6/meshes/rlink3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink3.STL,,DSCR5.STEP-1/ARM_left.STEP-1/link3.STEP-1;DSCR5.STEP-1/ARM_left.STEP-1/link3_accessory.STEP-1,origin_rjoint3,基准轴2,rjoint3,revolute,0,0.4,0,1.5708,0,3.1416,rlink2,0,0,1,0,0,0,0,,,,,,,,
rlink4,-0.144257090671159,-9.85621058857689E-06,-0.0330829693859012,0,0,0,3.62743871363849,0.0129758721943285,-2.58330084453535E-06,0.0089132335031844,0.0321838755377905,2.5505256066707E-08,0.0283162014026305,0,0,0,0,0,0,package://dscr5_6/meshes/rlink4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink4.STL,,DSCR5.STEP-1/ARM_left.STEP-1/link4.STEP-1;DSCR5.STEP-1/ARM_left.STEP-1/link4_accessory.STEP-1,origin_rjoint4,基准轴3,rjoint4,revolute,0,0,0,-1.5708,0,3.1416,rlink3,0,0,-1,0,0,0,0,,,,,,,,
rlink5,-5.73325782216028E-06,-0.0539256625097546,-0.0673965611550317,0,0,0,1.22777453272549,0.00671987251306287,-1.73026874797395E-07,4.00366572180421E-07,0.00522041312928112,0.0023320996856893,0.00406763138318156,0,0,0,0,0,0,package://dscr5_6/meshes/rlink5.STL,1,1,1,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink5.STL,,DSCR5.STEP-1/ARM_left.STEP-1/link5_accessory.STEP-1;DSCR5.STEP-1/ARM_left.STEP-1/link5.STEP-1,origin_rjoint5,基准轴4,rjoint5,revolute,-0.4,0,0,1.5708,0,-1.5708,rlink4,0,0,-1,0,0,0,0,,,,,,,,
rlink6,3.6069089082158E-07,-0.0302648113567473,0.000654424356794522,0,0,0,2.18349168254272,0.0071110582460742,1.28155589668657E-08,2.0793851567459E-08,0.00436647605709646,-0.000217056908270872,0.00649083623519741,0,0,0,0,0,0,package://dscr5_6/meshes/rlink6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink6.STL,,DSCR5.STEP-1/ARM_left.STEP-1/link6&7.STEP-1;DSCR5.STEP-1/ARM_left.STEP-1/link6&7_accessory.STEP-1,origin_rjoint6,基准轴5,rjoint6,revolute,0,0,0,-1.5708,0,-3.1416,rlink5,0,0,-1,0,0,0,0,,,,,,,,
rlink7,-1.6115772992209E-05,-0.000141462244165972,-0.031877389713026,0,0,0,0.28903198402219,0.000202802134225507,2.0837505013434E-10,1.07324494570625E-07,0.000203587280513312,1.58994797887414E-07,0.000316585846451796,0,0,0,0,0,0,package://dscr5_6/meshes/rlink7.STL,1,1,1,1,0,0,0,0,0,0,package://dscr5_6/meshes/rlink7.STL,,DSCR5.STEP-1/ARM_left.STEP-1/Endplate.STEP-1,Origin_rjoint7,基准轴6,rjoint7,continuous,0,-0.1805,0,-1.5708,0,3.1416,rlink6,0,0,-1,0,0,0,0,,,,,,,,
llink1,-3.48534555660862E-07,-0.0233818482203476,-0.0427896937411069,0,0,0,4.95039362663772,0.0280328872192692,-1.09421874361315E-08,8.01870939683973E-08,0.0290016533494645,0.00182600668247842,0.0175058159650953,0,0,0,0,0,0,package://dscr5_6/meshes/llink1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink1.STL,,DSCR5.STEP-1/ARM_right.STEP-1/link1.STEP-1;DSCR5.STEP-1/ARM_right.STEP-1/link1_accessory.STEP-1,origin_ljoint1,基准轴7,ljoint1,revolute,0.385,0,1.33000000000292,0,1.5707963267949,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
llink2,8.57088727768129E-07,-0.13218539479818,-0.0316164152507733,0,0,0,3.79795439943558,0.0345043950633951,-6.83154507808564E-07,3.59263239477534E-08,0.0138915001045365,0.00967376854022875,0.0312407342738061,0,0,0,0,0,0,package://dscr5_6/meshes/llink2.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink2.STL,,DSCR5.STEP-1/ARM_right.STEP-1/link2.STEP-1;DSCR5.STEP-1/ARM_right.STEP-1/link2_accessory.STEP-1,origin_ljoint2,基准轴9,ljoint2,revolute,0,0,0,-1.5707963267949,0,-3.14159265358978,llink1,0,0,1,0,0,0,0,,,,,,,,
llink3,-8.01697918939581E-07,-0.0193078273536719,-0.035176151200831,0,0,0,2.90590329386612,0.0125067109183852,-3.18829086345831E-08,1.61628680720986E-07,0.0126795925744412,0.000667419670602472,0.00682395851939513,0,0,0,0,0,0,package://dscr5_6/meshes/llink3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink3.STL,,DSCR5.STEP-1/ARM_right.STEP-1/link3.STEP-1;DSCR5.STEP-1/ARM_right.STEP-1/link3_accessory.STEP-1,origin_ljoint3,基准轴8,ljoint3,revolute,0,-0.400000000000002,0,-1.5707963267949,0,3.14159265358979,llink2,0,0,-1,0,0,0,0,,,,,,,,
llink4,-0.144257090671159,-9.85621058846586E-06,-0.0330829693890409,0,0,0,3.6274387136385,0.0129758721958824,-2.5832991490571E-06,0.0089132335030002,0.0321838755383158,2.55050844184399E-08,0.028316201404925,0,0,0,0,0,0,package://dscr5_6/meshes/llink4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink4.STL,,DSCR5.STEP-1/ARM_right.STEP-1/link4.STEP-1;DSCR5.STEP-1/ARM_right.STEP-1/link4_accessory.STEP-1,origin_ljoint4,基准轴10,ljoint4,revolute,0,0,0,-1.5707963267949,0,3.14159265358979,llink3,-1,0,0,0,0,0,0,,,,,,,,
llink5,5.73532288894452E-06,0.0539158105053979,-0.0673965526908485,0,0,0,1.22777421461757,0.00671987162846365,-1.73133868954827E-07,-4.00335180443076E-07,0.00522041225072359,-0.00233209954708952,0.00406763025471862,0,0,0,0,0,0,package://dscr5_6/meshes/llink5.STL,1,1,1,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink5.STL,,DSCR5.STEP-1/ARM_right.STEP-1/link5_accessory.STEP-1;DSCR5.STEP-1/ARM_right.STEP-1/link5.STEP-1,origin_ljoint5,基准轴13,ljoint5,revolute,-0.400000000000081,0,0,-1.5707963267949,0,1.57079632679491,llink4,0,-1,0,0,0,0,0,,,,,,,,
llink6,-3.60690891154647E-07,-0.0302648113567476,-0.000644568673573311,0,0,0,2.1834916825427,0.00711105824607414,-1.28155589872999E-08,2.07938515571978E-08,0.00436647605709643,0.00021705690827092,0.00649083623519734,0,0,0,0,0,0,package://dscr5_6/meshes/llink6.STL,1,1,1,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink6.STL,,DSCR5.STEP-1/ARM_right.STEP-1/link6&7_accessory.STEP-1;DSCR5.STEP-1/ARM_right.STEP-1/link6&7.STEP-1,origin_ljoint6,基准轴14&12,ljoint6,revolute,0,0,0,-1.5708,0,-3.1416,llink5,0,1,0,0,0,0,0,,,,,,,,
llink7,1.61157729924311E-05,0.000131606557804023,-0.0318773897130259,0,0,0,0.289031984022191,0.000202802134225507,2.08375050252457E-10,-1.07324494570797E-07,0.000203587280513312,-1.58994797887464E-07,0.000316585846451796,0,0,0,0,0,0,package://dscr5_6/meshes/llink7.STL,1,1,1,1,0,0,0,0,0,0,package://dscr5_6/meshes/llink7.STL,,DSCR5.STEP-1/ARM_right.STEP-1/Endplate.STEP-1,origin_ljoint7,基准轴14&12,ljoint7,continuous,0,-0.1805,0,-1.5708,0,-3.1416,llink6,0,0,-1,,,,,,,,,,,,
